athlete,bucket,brand_signed_with,has_signature_shoe,engagement_rate_pct,ig_follower_count
Deni Avdija,Young Signature,FA,Y,0.1962,348000
Stephon Castle ,High-Value Targets,Nike,N,0.189,297000
Alperen Sengun,High-Value Targets,Nike,N,0.1835,1300000
Alex Sarr,High-Value Targets,Decathlon,N,0.1487,135000
Shaedon Sharpe,High-Value Targets,Nike,N,0.1481,194000
Keyonte George,High-Value Targets,Nike,N,0.148,180000
Jalen Duren ,High-Value Targets,Nike,N,0.1311,213000
Amen Thompson,High-Value Targets,Nike,N,0.126,497000
Jalen WIlliams,High-Value Targets,Adidas,N,0.113,540000
Ausar Thompson,High-Value Targets,Nike,N,0.1009,344000