athlete,bucket,brand_signed_with,age,current_team,position,minutes_per_game,points_per_game,usage_rate_pct,ig_follower_count,engagement_rate_pct,google_trends_pct_change
Brandon Miller,High-Value Targets,Nike,23,Hornets,SF,34.2,21.0,0.277,250000,0.0186,3.1496
Keyonte George,High-Value Targets,Nike,20,Jazz,PG,31.5,16.8,0.243,180000,0.148,2.1429
Jordan Clarkson,Marketable Role Players,Nike,33,Knicks,SG,26.0,16.2,0.28,2000000,0.0265,0.5587
Shaedon Sharpe,High-Value Targets,Nike,22,Trail Blazers,SG,31.3,18.5,0.251,194000,0.1481,0.5355
Alex Sarr,High-Value Targets,Decathlon,20,Wizards,C,27.1,13.0,0.236,135000,0.1487,0.3043
Scottie Barnes,High-Value Targets,Nike,24,Raptors,PF,32.8,19.3,0.272,807000,0.0282,0.2536
Stephon Castle ,High-Value Targets,Nike,21,Spurs,PG,26.7,14.7,0.259,297000,0.189,0.2097
Norman Powell,High-Value Targets,Sketchers,32,Heat,SG,32.6,21.8,0.259,346000,0.0201,0.1702
Alperen Sengun,High-Value Targets,Nike,23,Rockets,C,31.5,19.1,0.263,1300000,0.1835,0.1463
Jalen Duren ,High-Value Targets,Nike,22,Pistons,C,26.1,11.8,0.164,213000,0.1311,0.0994